Precinct	total_votes	votes|Larry Suffredin	votes|Chris J. Hanusiak
49001	341	324	17
49003	596	560	36
49005	533	502	31
49006	512	466	46
49007	591	519	72
49008	426	390	36
49009	583	538	45
49010	529	481	48
49011	629	577	52
49012	743	690	53
49013	634	574	60
49014	465	415	50
49015	386	355	31
49016	528	468	60
49017	371	317	54
49019	488	458	30
49020	801	754	47
49021	307	272	35
49022	536	483	53
49023	720	670	50
49024	451	421	30
49025	718	660	58
49026	634	555	79
49027	620	568	52
49029	670	612	58
49030	636	567	69
49031	422	382	40
49032	519	489	30
49033	443	412	31
50001	373	241	132
50002	260	171	89
50003	356	250	106
50004	430	346	84
50005	278	161	117
50006	438	355	83
50007	460	393	67
50008	405	367	38
50009	337	266	71
50010	339	249	90
50011	265	132	133
50012	176	127	49
50013	442	390	52
50014	139	92	47
50015	465	398	67
50016	134	90	44
50018	99	64	35
50019	248	213	35
50020	380	309	71
50021	360	302	58
50022	327	219	108
50027	117	81	36
50028	398	347	51
50031	305	280	25
50032	122	114	8
50033	325	176	149
50034	568	417	151
50035	509	453	56
50036	373	307	66
50037	444	378	66
50038	181	133	48
50040	378	182	196
