Precinct	total_votes	votes|Bill Lowry	votes|George Blakemore
02002	433	325	108
02009	491	340	151
02010	452	293	159
02011	595	418	177
02012	481	408	73
02013	488	368	120
02018	539	403	136
02019	407	277	130
02023	389	269	120
02027	393	253	140
02028	608	465	143
02029	609	461	148
02030	459	311	148
02031	624	440	184
02033	794	579	215
02034	445	310	135
02035	685	513	172
02036	597	454	143
02037	500	378	122
02038	510	340	170
02042	283	211	72
02044	329	228	101
02046	298	203	95
03001	476	455	21
03002	560	543	17
03004	518	506	12
03007	298	287	11
03009	476	459	17
03011	491	482	9
03012	483	470	13
03015	433	423	10
03018	216	204	12
03019	603	473	130
03020	499	484	15
03021	174	130	44
03023	396	376	20
03024	360	349	11
03027	416	328	88
03029	219	204	15
03030	410	398	12
03031	523	509	14
03035	229	217	12
03037	283	274	9
03038	367	357	10
03041	337	302	35
04001	772	722	50
04002	683	567	116
04003	406	394	12
04004	648	627	21
04005	495	473	22
04006	586	545	41
04007	589	562	27
04008	538	528	10
04009	567	547	20
04010	629	611	18
04011	523	503	20
04012	578	558	20
04013	405	363	42
04014	525	502	23
04015	617	598	19
04016	896	791	105
04017	678	595	83
04018	481	466	15
04019	375	363	12
04020	495	420	75
04021	738	650	88
04022	528	503	25
04023	693	668	25
04024	481	450	31
04025	608	504	104
04026	487	467	20
04027	670	637	33
04028	425	405	20
04029	424	414	10
04030	672	654	18
04031	526	503	23
04032	563	546	17
04033	524	506	18
04034	439	425	14
04035	592	567	25
04036	573	556	17
04037	971	832	139
04038	537	511	26
05001	377	373	4
05002	325	317	8
05003	551	524	27
05004	667	637	30
05005	425	409	16
05006	370	357	13
05007	511	488	23
05008	517	483	34
05009	592	570	22
05010	358	350	8
05011	532	505	27
05012	295	286	9
05013	393	382	11
05014	382	375	7
05015	446	415	31
05016	439	427	12
05017	380	369	11
05018	473	452	21
05019	465	439	26
05020	579	553	26
05021	539	511	28
05022	564	520	44
05023	852	800	52
05024	553	529	24
05025	428	416	12
05026	464	444	20
05027	573	526	47
05028	508	481	27
05029	478	456	22
05030	310	302	8
05031	360	352	8
05032	579	547	32
05033	493	479	14
05034	583	544	39
05035	591	558	33
05036	262	251	11
05037	542	518	24
05038	419	410	9
05039	404	371	33
05040	322	312	10
05041	276	265	11
06006	400	385	15
06007	308	298	10
06010	174	166	8
06012	89	85	4
06016	185	184	1
06017	248	236	12
06019	283	278	5
06020	219	213	6
06030	301	288	13
06032	352	346	6
06033	368	345	23
06039	299	291	8
06040	331	322	9
06043	189	186	3
06047	274	266	8
06048	321	314	7
08001	320	304	16
08002	337	320	17
08009	112	110	2
08013	436	417	19
08014	265	257	8
08016	114	110	4
08018	353	340	13
08020	434	425	9
08021	462	455	7
08026	344	332	12
08028	295	284	11
08042	457	447	10
08043	201	191	10
08045	363	350	13
08054	297	291	6
08055	291	283	8
17002	326	316	10
17004	403	390	13
17009	257	252	5
17010	425	409	16
17015	351	339	12
17018	358	348	10
17020	417	413	4
17021	434	425	9
17022	285	276	9
17024	337	326	11
17026	338	329	9
17027	304	299	5
17029	317	308	9
17038	303	297	6
17039	315	307	8
17040	332	324	8
17041	400	397	3
18001	321	305	16
18004	383	367	16
18007	346	315	31
18008	367	354	13
18009	360	336	24
18010	480	465	15
18012	356	334	22
18013	366	354	12
18014	392	385	7
18016	348	331	17
18018	300	287	13
18019	339	331	8
18020	283	273	10
18021	438	414	24
18022	424	412	12
18023	360	338	22
18026	443	426	17
18029	28	27	1
18031	379	366	13
18033	50	49	1
18034	420	391	29
18035	423	402	21
18036	102	94	8
18037	417	403	14
18038	340	335	5
18041	414	390	24
18042	315	301	14
18048	7	7	0
20001	342	333	9
20003	303	296	7
20005	411	391	20
20008	333	325	8
20009	503	488	15
20010	238	233	5
20014	170	166	4
20016	414	393	21
20018	244	239	5
20019	353	341	12
20022	458	438	20
20024	416	395	21
20026	374	355	19
20028	12	12	0
20033	206	199	7
20034	591	565	26
20035	12	12	0
21004	342	339	3
21015	324	320	4
21026	353	338	15
21028	437	427	10
21030	292	287	5
21034	31	31	0
21043	303	295	8
21047	345	335	10
21051	338	334	4
21052	264	258	6
21053	19	17	2
21054	309	296	13
25021	374	332	42
27006	470	407	63
27009	215	168	47
27012	312	237	75
27020	299	292	7
27021	449	357	92
27037	474	382	92
27038	618	504	114
27042	291	236	55
27046	354	259	95
27047	259	241	18
27048	777	664	113
42001	491	333	158
42002	622	506	116
42004	1130	832	298
42006	556	389	167
42007	708	486	222
42008	503	392	111
42011	391	251	140
42013	499	337	162
42019	275	182	93
42024	585	418	167
42026	780	558	222
42028	633	459	174
42029	627	453	174
42030	470	317	153
42031	698	474	224
42033	234	187	47
42034	494	332	162
42035	741	585	156
42040	636	519	117
43028	719	551	168
43033	584	394	190
43035	621	444	177
43038	453	293	160
43043	516	368	148
