Precinct	total_votes	votes|Luis Arroyo Jr.	votes|Walter Zarnecki
01001	570	515	55
01002	455	428	27
01007	389	348	41
01009	415	372	43
01013	244	216	28
01015	413	350	63
01016	629	579	50
01017	465	417	48
01018	503	469	34
01019	608	559	49
01020	429	397	32
01022	338	312	26
01023	742	675	67
01024	449	416	33
01025	529	478	51
01026	332	308	24
01027	567	492	75
01029	643	564	79
01030	584	542	42
01031	493	437	56
01034	423	388	35
01038	230	197	33
01041	323	302	21
01042	136	119	17
01043	334	304	30
01044	488	444	44
26001	393	361	32
26002	311	288	23
26003	426	364	62
26004	231	224	7
26005	328	311	17
26006	309	291	18
26007	372	346	26
26008	188	170	18
26009	261	244	17
26010	308	300	8
26011	311	281	30
26012	395	366	29
26013	182	170	12
26014	265	247	18
26015	201	183	18
26016	190	176	14
26017	310	228	82
26018	266	247	19
26019	218	201	17
26020	316	287	29
26021	419	391	28
26022	169	155	14
26023	233	216	17
26024	281	260	21
26025	324	307	17
26026	252	232	20
26027	430	397	33
26029	220	194	26
26030	273	263	10
26031	150	129	21
26033	402	368	34
26034	449	428	21
26035	301	281	20
26036	371	325	46
26037	376	359	17
26038	156	145	11
26039	399	354	45
26040	242	230	12
26041	416	391	25
26042	298	285	13
26043	195	189	6
26044	204	189	15
26045	162	149	13
26046	256	199	57
26047	227	206	21
26048	335	308	27
26049	198	188	10
30001	6	6	0
30002	405	322	83
30003	350	307	43
30005	291	256	35
30006	342	286	56
30007	433	363	70
30008	515	448	67
30009	102	86	16
30010	418	355	63
30011	374	336	38
30012	345	294	51
30013	400	335	65
30014	260	237	23
30015	401	339	62
30016	192	159	33
30018	504	457	47
30019	366	328	38
30020	439	370	69
30021	117	88	29
30022	565	497	68
30023	447	392	55
30024	539	472	67
30025	586	517	69
30026	240	192	48
30027	274	223	51
30028	410	364	46
30029	225	199	26
30030	185	168	17
30031	272	214	58
30032	315	273	42
31001	244	227	17
31002	220	199	21
31003	228	182	46
31004	384	348	36
31005	292	256	36
31006	195	172	23
31007	422	401	21
31008	207	180	27
31009	255	216	39
31010	238	202	36
31011	218	179	39
31012	246	203	43
31013	273	257	16
31014	240	195	45
31015	247	209	38
31016	331	301	30
31017	250	207	43
31018	251	221	30
31019	242	207	35
31020	234	198	36
31021	254	229	25
31022	234	217	17
31023	269	227	42
31024	254	218	36
31025	243	212	31
31026	294	250	44
31027	296	255	41
31028	217	189	28
31029	280	236	44
31030	212	190	22
31031	214	174	40
31032	218	186	32
31033	218	173	45
31034	260	211	49
31035	293	250	43
31036	294	259	35
31037	265	226	39
31038	215	202	13
31039	313	296	17
31040	307	275	32
31041	233	206	27
32001	161	150	11
32003	594	534	60
32005	179	154	25
32011	501	474	27
32012	404	367	37
32014	568	518	50
32016	559	479	80
32017	562	511	51
32020	530	496	34
32022	701	632	69
32026	623	558	65
32028	566	515	51
32029	608	531	77
32032	24	21	3
32043	526	473	53
33001	512	467	45
33003	746	666	80
33004	710	614	96
33005	491	427	64
33006	465	409	56
33008	314	283	31
33009	118	107	11
33011	593	512	81
33012	522	460	62
33013	527	466	61
33014	282	244	38
33015	525	470	55
33016	707	607	100
33017	593	504	89
33019	598	499	99
33020	623	572	51
33021	557	503	54
33022	50	39	11
33026	445	412	33
33027	599	534	65
33028	525	486	39
35001	480	419	61
35002	524	461	63
35003	428	406	22
35004	444	375	69
35005	428	393	35
35006	430	393	37
35007	483	454	29
35008	499	462	37
35009	397	335	62
35010	607	563	44
35011	527	470	57
35012	299	281	18
35013	315	293	22
35014	324	291	33
35015	570	523	47
35016	252	237	15
35017	521	483	38
35018	298	281	17
35019	245	226	19
35020	402	358	44
35021	408	377	31
35022	560	505	55
35023	466	408	58
35024	423	366	57
35025	537	496	41
35026	403	348	55
35027	387	332	55
35028	440	381	59
35029	395	348	47
35030	428	373	55
35031	471	405	66
36002	330	294	36
36004	112	101	11
36005	333	306	27
36006	308	275	33
36008	259	238	21
36009	336	300	36
36011	260	234	26
36012	229	214	15
36013	251	233	18
36021	289	264	25
36022	293	266	27
36023	315	276	39
36025	369	334	35
45001	380	324	56
45002	450	396	54
45003	407	329	78
