Precinct	total_votes	votes|John Fritchey	votes|Bridget Degnen
01005	182	82	100
01008	166	68	98
01011	211	71	140
01014	155	66	89
01021	184	62	122
01028	70	40	30
01038	110	40	70
01042	15	7	8
02001	127	43	84
02006	167	67	100
02007	169	72	97
02008	190	82	108
02015	191	74	117
02016	161	69	92
02020	142	60	82
02022	196	116	80
02024	195	111	84
02025	188	83	105
02026	143	81	62
02027	23	8	15
02032	138	59	79
02039	113	65	48
02040	195	87	108
02041	124	51	73
02042	105	46	59
02043	186	86	100
02045	194	94	100
27001	157	56	101
27011	94	43	51
27028	85	43	42
27035	159	56	103
27037	10	5	5
30001	187	77	110
30004	130	72	58
30009	77	39	38
30017	170	100	70
30021	65	38	27
32001	204	88	116
32002	175	67	108
32004	194	73	121
32005	131	41	90
32006	194	72	122
32007	195	67	128
32008	180	82	98
32009	185	86	99
32010	202	95	107
32013	181	108	73
32015	201	76	125
32018	163	96	67
32019	184	70	114
32021	243	99	144
32023	174	75	99
32024	109	50	59
32025	215	95	120
32027	173	90	83
32030	150	74	76
32031	206	92	114
32032	200	73	127
32033	204	80	124
32034	192	69	123
32035	158	75	83
32036	204	80	124
32037	169	59	110
32038	167	73	94
32039	197	120	77
32040	235	119	116
32041	205	94	111
32042	171	67	104
33002	296	148	148
33004	2	2	0
33007	232	110	122
33008	241	125	116
33009	247	101	146
33010	226	94	132
33018	272	91	181
33022	218	118	100
33023	258	94	164
33024	424	171	253
33025	275	123	152
36014	171	80	91
36015	189	83	106
36016	176	82	94
36017	186	82	104
36018	160	83	77
36020	143	84	59
36024	100	56	44
36030	137	73	64
38001	155	72	83
38008	128	67	61
38010	130	65	65
38011	173	90	83
38014	177	77	100
38015	148	69	79
38018	179	94	85
38019	27	12	15
38021	149	75	74
38022	185	85	100
38023	204	104	100
38025	140	70	70
38026	77	34	43
38031	193	63	130
38032	146	71	75
38033	166	79	87
38034	169	83	86
38035	158	79	79
38036	152	79	73
38037	175	91	84
38039	207	93	114
38040	185	94	91
38041	218	93	125
39003	259	88	171
39004	0	0	0
39005	191	100	91
39006	205	91	114
39007	167	90	77
39008	198	88	110
39009	171	90	81
39010	108	41	67
39011	166	79	87
39012	241	104	137
39014	161	78	83
39017	241	81	160
39019	208	83	125
39022	23	4	19
39025	153	76	77
39028	305	136	169
39029	105	46	59
39030	246	111	135
39031	172	81	91
39033	210	103	107
39034	205	83	122
39035	183	98	85
39038	154	89	65
39039	51	26	25
40001	172	78	94
40003	308	125	183
40005	246	89	157
40006	273	62	211
40007	272	122	150
40008	317	118	199
40011	242	103	139
40012	176	64	112
40013	1	0	1
40014	134	66	68
40016	119	50	69
40017	223	93	130
40019	89	40	49
40020	179	77	102
40021	54	23	31
40024	35	21	14
40030	147	87	60
40034	165	79	86
40038	313	110	203
42005	136	70	66
42014	69	25	44
42015	136	57	79
42017	4	0	4
42019	176	90	86
42020	121	54	67
42022	68	33	35
42023	172	81	91
42025	2	0	2
42027	168	75	93
42032	116	53	63
42037	97	56	41
42038	134	64	70
42039	143	55	88
43002	161	68	93
43005	166	98	68
43006	124	54	70
43007	20	8	12
43010	231	117	114
43011	105	54	51
43016	131	62	69
43018	212	120	92
43023	131	60	71
43030	185	97	88
43031	206	106	100
43039	124	72	52
43041	266	160	106
43046	93	40	53
45003	5	2	3
45004	260	110	150
45005	242	121	121
45006	278	127	151
45007	330	144	186
45008	185	98	87
45009	183	73	110
45010	214	103	111
45011	131	50	81
45012	208	89	119
45013	196	83	113
45014	246	110	136
45015	294	111	183
45016	196	87	109
45017	203	80	123
45018	175	77	98
45019	90	39	51
45020	127	57	70
45021	180	84	96
45022	173	76	97
45023	167	90	77
45024	164	77	87
45025	128	62	66
45026	60	31	29
45027	75	33	42
45028	133	60	73
45029	115	66	49
45030	179	91	88
45031	156	63	93
45032	144	69	75
45033	135	61	74
45034	205	77	128
47001	133	58	75
47002	320	117	203
47003	309	165	144
47004	350	139	211
47005	63	20	43
47006	262	114	148
47007	244	91	153
47008	282	131	151
47009	233	99	134
47010	64	23	41
47011	207	103	104
47012	321	119	202
47013	292	118	174
47014	269	121	148
47016	302	119	183
47017	265	112	153
47021	283	126	157
47025	267	118	149
47027	240	101	139
47028	207	82	125
47029	276	119	157
47033	131	62	69
47035	267	110	157
47037	286	115	171
47039	284	126	158
47040	350	143	207
47042	81	34	47
47043	251	114	137
47046	274	113	161
47047	281	117	164
47048	31	18	13
