Precinct	total_votes	votes|Danny K. Davis	votes|Anthony V. Clark
01012	258	147	111
01014	48	31	17
01015	43	28	15
01032	73	46	27
02002	190	129	61
02009	147	105	42
02010	194	137	57
02011	241	170	71
02012	145	120	25
02013	209	144	65
02014	222	138	84
02017	279	186	93
02018	202	152	50
02019	170	110	60
02020	28	18	10
02021	6	3	3
02023	173	119	54
02027	179	120	59
02028	29	17	12
02029	201	131	70
02032	157	93	64
02034	237	177	60
02035	193	122	71
02036	168	116	52
02038	133	90	43
02039	133	87	46
02040	199	137	62
02041	134	95	39
02042	174	113	61
02043	214	153	61
02045	219	156	63
02046	112	83	29
03001	361	307	54
03002	392	352	40
03003	240	184	56
03004	142	123	19
03005	141	120	21
03006	265	182	83
03008	203	173	30
03009	266	221	45
03010	130	125	5
03011	253	207	46
03012	314	273	41
03013	311	218	93
03014	225	157	68
03015	245	218	27
03016	230	201	29
03017	263	201	62
03018	187	157	30
03019	259	184	75
03020	274	238	36
03021	327	272	55
03022	257	176	81
03023	174	151	23
03024	250	215	35
03025	376	265	111
03026	353	272	81
03027	268	189	79
03028	194	176	18
03029	245	216	29
03030	128	119	9
03031	284	247	37
03032	274	208	66
03033	226	146	80
03034	302	212	90
03035	6	5	1
03036	137	120	17
03037	212	173	39
03039	303	201	102
03040	280	243	37
04002	297	206	91
04004	344	303	41
04005	305	254	51
04006	388	337	51
04007	415	353	62
04008	39	35	4
04010	368	288	80
04011	148	132	16
04013	173	104	69
04014	43	38	5
04015	100	82	18
04016	327	230	97
04017	311	198	113
04020	268	176	92
04021	258	173	85
04022	12	10	2
04025	271	190	81
04028	174	143	31
04029	73	60	13
04030	42	33	9
04034	279	236	43
04035	360	302	58
04036	157	134	23
04037	365	236	129
06021	102	90	12
11002	15	11	4
11006	261	164	97
11007	172	118	54
11014	82	57	25
11030	100	61	39
11033	207	140	67
11034	95	60	35
11035	67	55	12
11036	83	52	31
11037	65	55	10
12010	34	25	9
12015	98	70	28
12018	8	6	2
15002	113	101	12
15003	122	108	14
15007	120	101	19
15013	18	16	2
15014	20	12	8
15016	2	1	1
15017	154	138	16
15018	96	89	7
15020	118	106	12
15021	132	120	12
15022	117	97	20
15023	139	126	13
15024	109	98	11
16002	161	139	22
16003	117	103	14
16004	131	107	24
16005	110	96	14
16006	149	132	17
16007	130	111	19
16008	97	77	20
16009	13	11	2
16010	122	106	16
16011	115	97	18
16012	115	102	13
16013	112	88	24
16014	117	105	12
16015	164	143	21
16016	158	146	12
16017	135	104	31
16018	133	114	19
16019	120	98	22
16020	123	107	16
16021	118	100	18
16022	113	102	11
16023	9	5	4
16024	81	71	10
16025	174	149	25
16026	137	118	19
16027	123	104	19
16029	127	105	22
16031	135	121	14
16033	125	108	17
16034	84	73	11
16035	115	78	37
16036	110	91	19
17006	92	78	14
17007	112	81	31
17008	0	0	0
17012	176	127	49
17013	170	151	19
17014	183	134	49
17016	41	30	11
17019	111	95	16
17025	3	3	0
17031	107	99	8
17033	57	46	11
17035	112	97	15
17036	33	28	5
20002	76	69	7
20004	63	55	8
20006	81	73	8
20011	169	144	25
20015	57	42	15
20017	95	80	15
20020	112	79	33
20021	116	97	19
20025	143	119	24
20027	24	19	5
20030	94	85	9
20031	166	135	31
20032	168	157	11
20036	57	50	7
20037	0	0	0
20038	70	62	8
20039	17	16	1
22014	70	51	19
22015	9	6	3
22019	38	31	7
22021	198	182	16
23017	33	21	12
23019	46	25	21
23031	56	34	22
24001	155	139	16
24002	150	139	11
24003	146	129	17
24004	125	112	13
24005	80	70	10
24006	164	147	17
24007	95	56	39
24008	81	76	5
24009	126	106	20
24010	75	68	7
24011	157	142	15
24012	90	77	13
24013	69	64	5
24014	130	116	14
24015	67	63	4
24016	76	58	18
24017	133	122	11
24018	173	160	13
24019	208	186	22
24020	125	116	9
24021	70	62	8
24022	201	177	24
24023	126	104	22
24024	181	164	17
24025	129	122	7
24026	269	250	19
24027	173	151	22
24028	131	116	15
24029	140	124	16
24030	96	84	12
24031	174	156	18
24032	92	81	11
24033	89	78	11
24034	144	131	13
24035	132	119	13
24036	197	167	30
24037	95	88	7
24038	148	129	19
24039	200	168	32
24040	163	148	15
24041	139	125	14
25003	210	117	93
25004	176	129	47
25006	69	56	13
25010	212	134	78
25014	96	68	28
25016	183	119	64
25018	142	112	30
25020	139	115	24
25021	316	201	115
25025	177	117	60
25027	156	95	61
25029	206	166	40
25031	203	145	58
26001	93	58	35
26003	180	107	73
26004	98	77	21
26010	114	76	38
26017	117	66	51
26019	94	71	23
26021	172	106	66
26027	80	40	40
26028	99	59	40
26033	157	102	55
26036	86	51	35
26039	88	56	32
26045	7	6	1
26046	93	56	37
27001	181	117	64
27002	194	150	44
27003	117	96	21
27004	106	75	31
27005	148	132	16
27006	168	125	43
27008	132	107	25
27009	85	57	28
27010	237	215	22
27011	152	104	48
27013	228	203	25
27014	91	80	11
27015	103	86	17
27016	120	75	45
27017	171	149	22
27018	136	113	23
27019	83	69	14
27020	103	90	13
27021	142	106	36
27022	116	103	13
27023	161	142	19
27024	105	88	17
27025	181	145	36
27026	175	150	25
27027	181	146	35
27028	96	76	20
27029	108	92	16
27030	107	97	10
27031	168	143	25
27032	159	122	37
27033	153	111	42
27034	150	133	17
27035	165	107	58
27036	151	124	27
27037	221	182	39
27038	310	248	62
27039	155	135	20
27040	167	124	43
27041	217	206	11
27042	85	77	8
27043	114	98	16
27044	128	116	12
27045	239	161	78
27047	162	138	24
27048	245	186	59
27049	138	122	16
27050	182	162	20
28001	115	102	13
28002	142	122	20
28003	134	116	18
28004	105	67	38
28005	124	104	20
28006	119	99	20
28007	151	137	14
28008	130	83	47
28009	155	135	20
28010	207	159	48
28011	251	162	89
28012	166	153	13
28013	178	155	23
28014	151	137	14
28015	54	47	7
28016	100	88	12
28017	129	112	17
28018	149	133	16
28019	148	102	46
28020	163	139	24
28021	140	123	17
28022	149	127	22
28023	176	160	16
28024	141	120	21
28025	253	229	24
28026	177	160	17
28027	162	111	51
28028	204	147	57
28029	66	56	10
28030	38	37	1
28031	273	237	36
28032	154	133	21
28033	185	167	18
28034	227	201	26
28035	168	151	17
28036	88	79	9
28037	204	184	20
28038	75	67	8
28039	106	95	11
28040	210	195	15
28041	128	113	15
28042	176	159	17
28043	201	178	23
28044	121	108	13
28045	120	78	42
28046	260	171	89
29001	308	220	88
29002	310	272	38
29003	212	179	33
29004	264	233	31
29005	150	131	19
29006	175	152	23
29007	241	194	47
29008	142	122	20
29009	3	2	1
29010	296	193	103
29011	138	110	28
29012	270	226	44
29013	219	195	24
29014	204	180	24
29015	259	219	40
29016	234	168	66
29017	226	198	28
29018	220	182	38
29019	233	186	47
29020	263	222	41
29021	234	211	23
29022	182	142	40
29024	216	177	39
29025	284	241	43
29026	248	199	49
29027	197	164	33
29028	268	227	41
29033	205	173	32
29034	115	85	30
29035	160	134	26
29036	201	170	31
29037	216	180	36
29040	263	228	35
29041	160	142	18
29042	222	208	14
29043	194	139	55
29044	273	236	37
36005	137	97	40
36021	83	55	28
37001	135	107	28
37002	117	95	22
37003	120	103	17
37004	127	107	20
37005	218	195	23
37006	189	169	20
37007	117	96	21
37008	120	97	23
37009	195	173	22
37010	192	158	34
37011	114	104	10
37012	104	85	19
37013	133	114	19
37014	200	175	25
37015	200	182	18
37016	187	162	25
37017	158	138	20
37018	182	157	25
37019	145	122	23
37020	140	129	11
37021	177	156	21
37022	135	115	20
37023	191	168	23
37024	201	176	25
37025	169	151	18
37026	239	217	22
37027	191	168	23
37028	156	125	31
37029	185	148	37
37030	165	143	22
37031	179	151	28
37032	177	152	25
37033	227	204	23
37034	163	149	14
37035	213	180	33
37036	163	149	14
37037	236	208	28
37038	233	202	31
37039	165	147	18
37040	214	187	27
37041	169	151	18
42001	222	172	50
42002	156	113	43
42003	199	132	67
42004	265	188	77
42005	147	100	47
42006	295	208	87
42007	234	163	71
42008	215	156	59
42009	190	119	71
42010	233	161	72
42011	149	107	42
42012	223	149	74
42013	251	176	75
42014	165	111	54
42015	143	101	42
42016	204	144	60
42017	244	168	76
42018	134	86	48
42019	263	187	76
42020	140	93	47
42021	161	100	61
42022	85	58	27
42023	190	129	61
42024	190	135	55
42025	157	109	48
42026	200	138	62
42027	182	129	53
42028	269	188	81
42029	182	111	71
42030	210	135	75
42031	191	137	54
42032	131	90	41
42033	214	142	72
42034	188	132	56
42035	271	185	86
42036	249	151	98
42037	107	78	29
42038	150	113	37
42039	171	112	59
42040	218	137	81
42041	178	124	54
42042	269	197	72
43001	126	97	29
43005	20	14	6
43009	26	19	7
43033	243	178	65
43035	263	185	78
43045	141	101	40
