Precinct	total_votes	votes|Tammy Wendt	votes|Dan Patlak
19001	450	205	245
19002	490	373	117
19003	437	125	312
19004	608	235	373
19006	307	118	189
19008	561	169	392
19009	360	150	210
19011	501	126	375
19012	449	141	308
19015	689	207	482
19016	512	186	326
19019	366	267	99
19021	479	151	328
19022	534	343	191
19024	383	126	257
19029	76	27	49
19030	510	160	350
19033	568	189	379
19039	232	218	14
19041	510	168	342
19044	593	212	381
19045	519	231	288
19047	674	558	116
19051	540	275	265
19053	454	238	216
19054	439	124	315
19055	451	145	306
41003	541	262	279
41005	663	303	360
41007	590	235	355
41008	565	224	341
41011	524	208	316
41013	686	270	416
41015	716	316	400
41016	304	139	165
41017	517	231	286
41018	533	242	291
41020	424	187	237
41021	560	256	304
41022	597	252	345
41023	611	205	406
41025	583	291	292
41026	502	212	290
41027	317	127	190
41028	653	357	296
41029	510	233	277
41030	554	278	276
41031	522	247	275
41033	552	252	300
41034	529	213	316
41035	655	269	386
41036	559	249	310
41037	624	284	340
41038	567	267	300
41041	620	252	368
41043	601	276	325
41045	565	271	294
41046	564	235	329
45045	378	172	206
45046	431	227	204
45047	401	191	210
45048	467	203	264
