Precinct	total_votes	votes|Michelle Darbro	votes|Brad Stephens
38002	620	186	434
38007	167	88	79
38012	601	221	380
38017	151	81	70
38020	603	251	352
38024	3	1	2
38028	710	334	376
41001	590	254	336
41002	645	265	380
41003	336	165	171
41004	594	303	291
41005	729	384	345
41007	640	298	342
41008	626	296	330
41010	612	288	324
41011	667	308	359
41013	746	318	428
41015	769	383	386
41016	586	295	291
41017	547	282	265
41018	585	294	291
41020	458	222	236
41021	590	318	272
41022	677	309	368
41023	656	240	416
41025	629	316	313
41026	527	260	267
41027	607	257	350
41031	553	295	258
41033	584	251	333
41034	571	248	323
41035	751	343	408
41036	599	284	315
41037	672	336	336
41040	695	309	386
41041	660	302	358
41042	630	261	369
41043	651	313	338
41044	641	277	364
41045	600	293	307
41046	608	293	315
