Precinct	total_votes	votes|Robert Martwick	votes|Anthony Beckman
29029	515	330	185
29031	270	148	122
29032	592	345	247
38001	516	391	125
38002	613	216	397
38003	594	338	256
38005	594	365	229
38006	601	324	277
38007	552	274	278
38009	652	324	328
38011	512	323	189
38012	593	231	362
38013	648	340	308
38014	596	382	214
38015	539	358	181
38017	695	311	384
38018	622	378	244
38019	647	390	257
38020	598	285	313
38021	541	346	195
38022	522	375	147
38024	607	316	291
38025	541	339	202
38026	606	359	247
38027	599	308	291
38028	704	347	357
38029	608	363	245
38030	586	292	294
38031	552	391	161
38032	549	372	177
38033	561	376	185
38036	548	367	181
38038	573	344	229
38040	572	397	175
38041	505	401	104
39020	716	406	310
39021	572	327	245
39023	573	334	239
39024	709	390	319
39041	4	1	3
41001	581	249	332
41002	629	267	362
41003	590	318	272
41004	581	289	292
41005	708	381	327
41007	629	302	327
41008	611	281	330
41010	608	293	315
41011	648	300	348
41012	655	309	346
41013	734	338	396
41015	759	382	377
41016	579	288	291
41017	546	276	270
41018	569	302	267
41020	451	220	231
41021	594	308	286
41022	666	320	346
41023	639	231	408
41024	592	259	333
41025	629	330	299
41026	529	242	287
41027	604	261	343
41030	583	314	269
41031	555	319	236
41033	580	283	297
41034	564	268	296
41035	738	351	387
41036	594	280	314
41037	661	348	313
41038	605	293	312
41040	687	284	403
41041	649	310	339
41042	624	269	355
41043	626	315	311
41044	634	269	365
41045	601	299	302
41046	603	286	317
45012	560	418	142
45013	491	366	125
45014	828	645	183
45015	687	546	141
45016	487	352	135
45017	675	454	221
45018	652	442	210
45019	349	233	116
45020	422	301	121
45021	537	329	208
45022	570	362	208
45023	564	339	225
45024	473	264	209
45025	384	223	161
45026	337	175	162
45027	593	344	249
45028	506	325	181
45029	393	236	157
45030	548	419	129
45031	481	358	123
45032	399	286	113
45033	410	304	106
45034	600	411	189
45035	631	439	192
45036	614	403	211
45037	579	358	221
45038	581	390	191
45039	587	356	231
45040	542	329	213
45041	545	321	224
45042	539	301	238
45043	597	316	281
45044	560	297	263
45045	396	188	208
45046	459	250	209
45047	434	225	209
45048	499	235	264
