Precinct	total_votes	votes|Celina Villanueva	votes|Mary Ellen ''Mari'' Brown
12002	404	358	46
12006	524	451	73
12007	441	402	39
12010	488	440	48
12011	518	471	47
12012	464	409	55
12013	103	83	20
12014	431	384	47
12015	431	383	48
12016	414	370	44
12017	327	296	31
12018	416	374	42
12020	546	498	48
12022	462	424	38
13001	369	255	114
13002	303	197	106
13003	347	306	41
13004	412	288	124
13005	493	434	59
13006	374	198	176
13007	349	299	50
13008	319	217	102
13009	449	383	66
13010	323	175	148
13011	422	271	151
13012	372	314	58
13013	394	337	57
13014	393	339	54
13015	599	528	71
13016	304	266	38
13017	349	238	111
13018	329	212	117
13019	526	463	63
13020	269	173	96
13021	425	235	190
13022	442	267	175
13023	334	290	44
13024	404	341	63
13025	421	356	65
13026	415	321	94
13027	385	291	94
13028	313	279	34
13029	336	287	49
13030	337	311	26
13031	413	275	138
13032	344	188	156
13033	390	240	150
13034	409	373	36
13035	355	301	54
13036	296	267	29
13037	411	345	66
13038	317	210	107
13039	388	343	45
13040	396	333	63
13041	499	450	49
13042	393	227	166
13043	393	306	87
13044	435	399	36
13045	417	305	112
13046	465	408	57
13047	485	436	49
13048	345	213	132
14001	26	14	12
14003	455	410	45
14006	43	42	1
14010	0	0	0
14011	267	243	24
14015	498	455	43
14018	167	139	28
14022	450	368	82
14023	106	82	24
15006	453	411	42
15009	64	61	3
15010	322	273	49
15011	242	217	25
15012	56	50	6
18015	463	371	92
18043	326	281	45
18046	279	232	47
22004	161	146	15
22005	8	8	0
22007	72	65	7
22010	589	547	42
22013	260	249	11
22014	367	333	34
22015	297	260	37
22016	352	331	21
22017	100	96	4
22018	193	176	17
22019	4	2	2
22022	428	385	43
23001	367	231	136
23002	405	269	136
23004	473	299	174
23005	454	409	45
23006	288	244	44
23007	410	340	70
23008	498	389	109
23009	418	373	45
23010	504	444	60
23011	501	454	47
23012	396	200	196
23013	422	384	38
23014	59	39	20
23015	396	359	37
23016	414	220	194
23017	108	94	14
23018	368	230	138
23020	258	229	29
23021	382	196	186
23022	299	205	94
23023	389	248	141
23024	145	132	13
23025	75	60	15
23026	222	189	33
23027	375	206	169
23028	449	292	157
23029	357	219	138
23030	506	453	53
23032	411	356	55
23033	496	450	46
23034	495	424	71
23035	301	193	108
23036	403	231	172
23037	283	151	132
23038	376	243	133
23039	476	432	44
24016	1023	703	320
