Precinct	total_votes	votes|R. Cary Capparelli	votes|Michelle Darbro
38002	194	81	113
38007	56	28	28
38012	188	97	91
38017	60	17	43
38020	194	75	119
38024	1	0	1
38028	221	85	136
41001	224	75	149
41002	235	71	164
41003	121	45	76
41004	262	82	180
41005	285	73	212
41007	254	85	169
41008	252	60	192
41010	311	81	230
41011	280	97	183
41013	243	70	173
41015	301	94	207
41016	228	72	156
41017	233	87	146
41018	225	58	167
41020	161	57	104
41021	234	78	156
41022	297	89	208
41023	215	67	148
41025	122	40	82
41026	239	79	160
41027	126	54	72
41031	246	82	164
41033	221	70	151
41034	225	68	157
41035	317	101	216
41036	233	54	179
41037	269	78	191
41040	243	68	175
41041	216	51	165
41042	226	64	162
41043	216	47	169
41044	261	73	188
41045	226	70	156
41046	308	93	215
