Precinct	total_votes	votes|Robert Peters	votes|Ken Thomas
02002	169	121	48
02010	148	101	47
02011	219	130	89
02013	239	159	80
02018	234	151	83
02019	116	78	38
02023	153	100	53
02027	113	75	38
02029	151	89	62
02034	210	139	71
02042	82	50	32
03002	26	15	11
03004	343	131	212
03011	55	23	32
03012	121	46	75
03019	290	181	109
03021	99	56	43
03027	141	89	52
03030	254	129	125
03031	186	88	98
04001	444	256	188
04003	243	121	122
04004	399	203	196
04005	372	144	228
04006	102	38	64
04007	392	162	230
04008	356	172	184
04009	413	203	210
04010	422	163	259
04011	195	86	109
04012	369	166	203
04015	362	160	202
04018	326	130	196
04019	216	116	100
04022	322	155	167
04023	428	253	175
04024	301	149	152
04026	279	134	145
04027	440	227	213
04028	274	117	157
04029	273	123	150
04030	373	161	212
04031	370	203	167
04032	337	165	172
04033	319	170	149
04034	269	133	136
04035	337	145	192
04036	185	71	114
04038	226	115	111
05001	239	79	160
05003	323	234	89
05004	365	205	160
05005	237	114	123
05006	231	77	154
05007	297	118	179
05008	337	252	85
05009	393	248	145
05010	209	84	125
05011	326	210	116
05013	220	97	123
05014	270	95	175
05015	280	157	123
05016	241	91	150
05017	197	98	99
05018	304	215	89
05019	313	228	85
05020	359	211	148
05021	321	214	107
05022	375	224	151
05023	495	300	195
05024	359	206	153
05025	266	139	127
05026	260	120	140
05027	329	258	71
05028	307	151	156
05029	291	118	173
05030	91	36	55
05031	198	60	138
05032	334	128	206
05033	305	142	163
05034	358	243	115
05035	387	248	139
05036	105	50	55
05037	340	232	108
05038	240	76	164
05039	258	166	92
05040	214	65	149
05041	173	106	67
07001	147	60	87
07002	178	81	97
07003	240	108	132
07004	220	83	137
07005	196	88	108
07006	290	135	155
07007	188	82	106
07008	126	73	53
07009	374	144	230
07010	250	107	143
07011	205	93	112
07012	188	79	109
07013	146	62	84
07014	209	80	129
07015	203	85	118
07016	153	61	92
07017	188	68	120
07018	144	59	85
07019	185	75	110
07020	149	52	97
07021	140	57	83
07022	168	80	88
07023	231	80	151
07024	160	62	98
07025	162	79	83
07028	36	14	22
07030	22	10	12
07031	131	62	69
07032	191	71	120
07033	315	114	201
07034	282	114	168
07035	232	86	146
07037	205	93	112
07046	99	60	39
08001	7	3	4
08002	95	41	54
08021	0	0	0
08042	261	109	152
10001	176	97	79
10004	127	75	52
10006	142	91	51
10007	110	66	44
10008	84	43	41
10010	176	126	50
10011	229	170	59
10012	118	86	32
10014	221	171	50
10018	96	60	36
10019	186	133	53
10020	195	134	61
10021	162	117	45
10022	113	81	32
10023	143	105	38
10025	56	36	20
10026	129	84	45
10027	144	85	59
10028	215	146	69
10029	189	133	56
10030	160	129	31
10031	134	90	44
10032	171	118	53
10033	143	102	41
10034	121	80	41
10035	192	127	65
10036	46	28	18
20005	253	112	141
20009	333	153	180
20016	269	152	117
20022	281	131	150
20024	255	140	115
20026	220	115	105
20034	324	186	138
42001	198	132	66
42002	211	136	75
42004	425	276	149
42006	267	177	90
42007	248	139	109
42008	234	146	88
42011	88	69	19
42013	252	159	93
42019	82	51	31
42024	159	107	52
42026	269	145	124
42028	215	138	77
42029	195	122	73
42030	177	124	53
42031	252	158	94
42034	184	124	60
42035	299	175	124
42040	182	114	68
43035	237	155	82
