Precinct	total_votes	votes|George Cardenas	votes|Antonio ''Tony'' Munoz
12001	276	122	154
12002	210	109	101
12003	363	148	215
12004	304	115	189
12005	223	138	85
12006	271	146	125
12007	225	100	125
12008	276	152	124
12009	216	128	88
12010	301	141	160
12011	246	152	94
12012	230	134	96
12013	228	120	108
12014	205	100	105
12015	215	97	118
12016	176	102	74
12017	246	127	119
12018	165	71	94
12019	231	114	117
12020	226	131	95
12021	238	121	117
12022	235	96	139
12023	274	136	138
