Precinct	total_votes	votes|Ariel E. Reboyras	votes|Juan ''Johnny'' Elias
30001	247	153	94
30002	198	128	70
30003	211	129	82
30004	197	110	87
30005	160	107	53
30006	217	162	55
30007	247	144	103
30008	307	181	126
30009	192	149	43
30010	221	154	67
30011	188	127	61
30012	171	113	58
30013	187	128	59
30014	145	99	46
30015	284	217	67
30016	104	71	33
30017	194	120	74
30018	280	159	121
30019	206	129	77
30020	249	158	91
30021	166	112	54
30022	320	189	131
30023	240	160	80
30024	328	192	136
30025	330	199	131
30026	134	80	54
30027	163	101	62
30028	251	155	96
30029	118	71	47
30030	94	59	35
30031	149	84	65
30032	214	140	74
