Precinct	total_votes	votes|Halle Rasmussen Quezada Olmos	votes|Debra Silverstein
50001	340	66	274
50002	187	39	148
50003	286	51	235
50004	260	109	151
50005	226	26	200
50006	249	111	138
50007	310	154	156
50008	199	99	100
50009	201	90	111
50010	247	39	208
50011	293	16	277
50012	91	26	65
50013	205	112	93
50014	82	17	65
50015	354	203	151
50016	79	12	67
50017	227	77	150
50018	65	1	64
50019	125	63	62
50020	244	131	113
50021	215	87	128
50022	247	64	183
50023	156	38	118
50024	242	27	215
50025	274	43	231
50026	153	62	91
50027	67	21	46
50028	195	74	121
50029	149	62	87
50030	152	65	87
50031	237	108	129
50032	196	84	112
50033	298	44	254
50034	392	163	229
50035	316	149	167
50036	272	155	117
50037	253	120	133
50038	95	24	71
50039	150	34	116
50040	399	32	367
